# Example credentials file
# Format: Platform|Username|Password|Notes
# Lines starting with # are ignored

# Netflix accounts
Netflix|netflix1@example.com|NetflixPass123|Premium Family Plan
Netflix|netflix2@example.com|NetflixPass456|Standard Plan

# Amazon Prime accounts
Prime|prime1@example.com|PrimePass123|Annual subscription
Prime|prime2@example.com|PrimePass456|Monthly plan

# Pornhub accounts
Pornhub|pornhub1@example.com|PornPass123|Premium account
Pornhub|pornhub2@example.com|PornPass456|Premium Plus

# YouTube Premium
YouTube|youtube1@example.com|YTPass123|Family plan
YouTube|youtube2@example.com|YTPass456|Individual

# Hotstar
Hotstar|hotstar1@example.com|HotstarPass123|VIP plan
Hotstar|hotstar2@example.com|HotstarPass456|Premium

# ZEE5
ZEE5|zee1@example.com|ZeePass123|Premium pack
ZEE5|zee2@example.com|ZeePass456|Annual plan
